id,conversation_id,content,machine,failed_responding,flagged,created_at,ordinality,token_size
4QbY6VM5Wdzq,qM7e5o3GZb2v,"Hello, what can I do for you?",1,0,0,2024-03-30 20:04:49,0,9
WPe9860gzdLy,K4oeEBxXNa0B,"Hello, what can I do for you?",1,0,0,2024-03-07 10:11:05,0,9
nXe0gqGLNdxr,K4oeEBxXNa0B,how do i report my employment status?,0,0,0,2024-03-07 10:11:06,1,8
pmbk5Qq7vezJ,K4oeEBxXNa0B,"To report your employment status, you can use the form provided at this link: [Employment Status Form](https://theroom.formstack.com/forms/placement_l3?utm_source=lms&utm_medium=aice). Make sure to update us on your employment status regularly to help us match you to relevant job opportunities.",1,0,0,2024-03-07 10:11:07,2,64
BDbDRoYzYel2,K4oeEkZRkb0B,"Hello, what can I do for you?",1,0,0,2024-05-11 21:06:41,0,9
4oeElpZAKd0B,K4oeEkZRkb0B,How do i see my quizzes,0,0,0,2024-05-11 21:06:42,1,6
YRdGZrYDQbDz,K4oeEkZRkb0B,"To access your evaluation quizzes and view details such as scores and duration, simply click on this [link](#). If you wish to know more about your performance in a specific quiz, click on the details section on the page.",1,0,0,2024-05-11 21:06:43,2,46
nXe0gAMVXdxr,K4oeELWj0d0B,"Hello, what can I do for you?",1,0,0,2024-03-31 16:06:04,0,9
jneg57yL6bwZ,K4oeELWj0d0B,"After submitting a milestone on savannah, what does ""ready for a new peer review button do""",0,0,0,2024-03-31 16:06:06,1,20
olej2ABq5ejN,K4oeELWj0d0B,"After submitting a milestone on Savanna, the ""Ready for a new peer review"" button allows you to indicate that you are prepared to review a new peer's assignment. This action signals your availability and willingness to provide feedback and assessment on your peer's work. By clicking this button, you are actively engaging in the peer review process, contributing to the learning community by offering valuable insights and evaluations to your peers.",1,0,0,2024-03-31 16:06:07,2,82
46dBg1vPne79,K4oeELWj0d0B,"After submitting a milestone on savannah, does ""ready for a new peer review"" makes your work available for another peer review again",0,0,0,2024-03-31 16:10:30,3,26
BDbDRwxQYel2,K4oeELWj0d0B,"After submitting a milestone on Savannah, clicking the ""Ready for a new peer review"" button indicates your readiness to review another peer's assignment. This action does not make your own work available for another peer review. Once you have submitted your milestone and completed the peer review assigned to you, clicking this button signifies your willingness to provide feedback on a new peer's work. If you have further questions or need more detailed assistance, please reach out to ALX Africa's team at [ALX Africa Customer Support](https://alxprograms.zendesk.com/hc/en-gb/requests/new).",1,0,0,2024-03-31 16:10:31,4,119
Jrb2k3yAAdWL,k8mep6p21bMy,"Hello, what can I do for you?",1,0,0,2024-02-25 17:20:07,0,9
ELe314z0pb69,k8mep6p21bMy,I want to know more about WAGA,0,0,0,2024-02-25 17:20:09,1,9
9wdLg2RvrbjP,k8mep5X2XaMy,"Hello, what can I do for you?",1,0,0,2024-05-05 11:15:43,0,9
N1aMj26JGbWm,k8mep5X2XaMy,The calendar no longer exist,0,0,0,2024-05-05 11:15:44,1,5
J0dNx2RYvaLO,k8mep5X2XaMy,"It seems you are experiencing issues with the calendar link. To resolve this, please ensure you are using your computer, not your phone, to add the calendar. You can refer to the step-by-step guide or video guide provided in the knowledge base document ""Onboarding week realtime fix"" for assistance. If you encounter any challenges, you can access the guides via the links below:

Step-by-step guide: [Click here](https://drive.google.com/file/d/1NEnQYEaEmru7yWCYXpUWlblu-kv7w1OV/view?usp=sharing)

Video guide: [Click here](https://www.loom.com/share/1acf8f85cecc471bbf9a186db2c5023c?sid=51e13af8-737b-42ac-90d7-66b85f25e7eb)

If you need further assistance, please don't hesitate to reach out to ALX Africa's team at [this link](https://alxprograms.zendesk.com/hc/en-gb/requests/new).",1,0,0,2024-05-05 11:15:45,2,227
GRb4x5ADJbBL,k8mep6p21bMy,"I'm sorry, but the information provided in our knowledge base does not include details about WAGA. If you need further assistance, please feel free to contact ALX Africa's team at https://alxprograms.zendesk.com/hc/en-gb/requests/new.",1,0,0,2024-02-25 17:20:10,2,56
MvbmwPBnreYA,KGRb40OE1bBL,Iam asking about the courses on ALX,0,0,0,2024-05-08 07:21:37,3,9
openZPDoEe7A,KGRb40OE1bBL,How can we assist you with your inquiries about the courses offered on ALX?,1,0,0,2024-05-08 07:21:38,4,16
LDdwjlPAMb1Y,KGRb40OE1bBL,I need to know the types of courses on ALX,0,0,0,2024-05-08 07:22:01,5,11
Vyb8qlmxLdvA,KGRb40OE1bBL,"Hello, what can I do for you?",1,0,0,2024-05-08 07:21:17,0,9
WPe98mnyZdLy,KGRb40OE1bBL,Hi lea,0,0,0,2024-05-08 07:21:19,1,3
nXe0gB4mKdxr,KGRb40OE1bBL,Hello! How can we assist you today?,1,0,0,2024-05-08 07:21:20,2,9
X7axGmQmqeyv,KGRb40OE1bBL,"On ALX, we offer a variety of courses tailored to meet different learning needs. Our courses cover a wide range of topics, including leadership, technology, entrepreneurship, and more. Whether you are looking to enhance your skills in a specific area or explore a new field, we have courses designed to help you achieve your learning goals. Additionally, our courses are structured to provide a step-by-step learning approach, offering flexibility for students to study at their own pace. If you would like more detailed information about a specific course or program, feel free to reach out to us for further assistance.",1,0,0,2024-05-08 07:22:02,6,117
9wdLgRNRAbjP,KGRb40OE1bBL,Can you tell me the names of the courses on ALX,0,0,0,2024-05-08 07:22:48,7,12
N1aMj6065bWm,KGRb40OE1bBL,"On ALX, we offer a variety of courses tailored to meet different learning needs. Some of the courses available include Leadership Essentials, Technology for Business Leaders, Entrepreneurship Fundamentals, and many more. Each course is designed to provide valuable skills and knowledge to help you succeed in your chosen field. If you would like more information about a specific course or if you have any other questions, feel free to reach out to us for assistance.",1,0,0,2024-05-08 07:22:49,8,87
oQeZ4R5RRbpZ,KGRb40OE1bBL,What is the link of Alx site,0,0,0,2024-05-08 07:23:27,9,8
KQe1jD5DPaJY,KGRb40OE1bBL,"Here is the link to the official ALX program website: 

<iframe src=""[Link to the official ALX program website]""></iframe>",1,0,0,2024-05-08 07:23:28,10,29
Vyb8qlmlLdvA,KGRb40OE1bBL,It doesn't work,0,0,0,2024-05-08 07:23:41,11,4
WPe98mnmZdLy,KGRb40OE1bBL,"We apologize for the inconvenience. Here is the link to the official ALX program website: 

<a href=""[Link to the official ALX program website]"">ALX Program Website</a>",1,0,0,2024-05-08 07:23:42,12,39
LDdwjlPlMb1Y,KGRb40OE1bBL,"It doesn't work,too",0,0,0,2024-05-08 07:24:02,13,6
jneg5PvNYbwZ,KGRb40OE1bBL,"We apologize for the inconvenience. Here is the link to the official ALX program website: 

<a href=""[Link to the official ALX program website]"">ALX Program Website</a>",1,0,0,2024-05-08 07:24:03,14,39
46dBgyzjXe79,KGRb40OE1bBL,The site give me 404 error,0,0,0,2024-05-08 07:24:21,15,7
BDbDRABlxel2,KGRb40OE1bBL,"We apologize for the inconvenience you are experiencing with the ALX program website. To address this issue, we recommend submitting a ticket to our tech team by clicking on the following link: [Submit a Ticket](https://alxprograms.zendesk.com/hc/en-gb/requests/new). Our team will work diligently to assist you and resolve the 404 error as soon as possible.",1,0,0,2024-05-08 07:24:22,16,78
APdRg7WDqeGy,KGRb40OE1bBL,What are the free courses in alx,0,0,0,2024-05-08 07:24:53,17,8
y5eVm91KMdEP,KGRb40OE1bBL,"At the moment, the only program offered at no cost by ALX is the AiCE program. For more information on the diverse range of programs offered by ALX, including their objectives, structure, and benefits, we encourage you to explore additional information available [here](https://tech.alxafrica.com/nigeria?utm_source=google&utm_medium=pmax&utm_campaign=la_2024q1&utm_term=tofu-applications-tech-lite-ng&utm_content=all&gclid=CjwKCAiAlJKuBhAdEiwAnZb7ldukJGvBUSyKSRV3uQ9-FgLncLD3F2yV9heGLqMG31MAHXVdXKJRVhoCLVEQAvD_BwE).",1,0,0,2024-05-08 07:24:54,18,162
openZkWple7A,KGRb4ZwvkeBL,"Hello, what can I do for you?",1,0,0,2024-05-13 08:34:59,0,9
4zbqjnWvrdpr,KGRb4ZwvkeBL,Lea I'm having issues logging into CIRCLE,0,0,0,2024-05-13 08:35:01,1,10
MYer0oWw6bOB,KGRb4ZwvkeBL,"We understand the frustration of facing login issues. To ensure a smooth login process, please make sure you are using the correct URL provided in the instructions. It's essential to follow the outlined steps carefully, including logging in to the Community Portal and clicking on the 'Learning' tab to access the AiCE course. If you encounter any errors or difficulties, you can try refreshing your browser or watching the activation video guide for further assistance. If the issue persists, please let us know so we can provide additional support.",1,0,0,2024-05-13 08:35:02,2,102
pmbk5LWmxezJ,KGRb4ZwvkeBL,I haven't received any verification code,0,0,0,2024-05-13 08:35:16,3,7
pnelOgWnldKB,KGRb4ZwvkeBL,"We understand the importance of receiving the verification code promptly to access the learning platform. If you have not received the verification code, please ensure to check your email inbox thoroughly, including the spam folder. The verification code is typically sent to your registered email address. If you still haven't received it, you can reach out to our support team by submitting a ticket using the following link: [Submit a Ticket](https://alxprograms.zendesk.com/hc/en-gb/requests/new). Our team will assist you promptly to resolve this issue and get you started on your learning journey.",1,0,0,2024-05-13 08:35:17,4,118
5xe768MlGd7r,kQBeX0jQAeyK,"Hello, what can I do for you?",1,0,0,2024-03-06 10:36:14,0,9
Vyb8q8gm5dvA,kQBeX0jQAeyK,Good morning,0,0,0,2024-03-06 10:36:15,1,2
WPe986jn4dLy,kQBeX0jQAeyK,Good morning! How can we assist you today?,1,0,0,2024-03-06 10:36:16,2,10
KQe1j1MmoaJY,kQBeX0jQAeyK,One of the requested tasks is that i have to submit a why answer on the portal. but i still do not have any access to the portal,0,0,0,2024-03-06 10:37:07,3,29
Jrb2R4XnPbWL,kQBeX0jQAeyK,"I understand that you are facing challenges accessing the portal to submit your ""why"" answer. To resolve this issue, please follow these steps:

1. Check your email for the invitation with the subject line ""Welcome to The Talent Portal."" This email contains the link to set up your account on the portal.
   
2. If you encounter any difficulties accessing the portal, try clearing your browsing history and cache before attempting to log in again.

3. If the problem persists, please reach out to our technical team by submitting a ticket [here](https://alxprograms.zendesk.com/hc/en-gb/requests/new) with details of the issue. Our team will assist you in resolving the access problem promptly.

If you need further assistance, feel free to let us know.",1,0,0,2024-03-06 10:37:08,4,157
QBeX6xwx8byK,kQBeX0jQAeyK,I didn't recieve an email with the invitation,0,0,0,2024-03-06 10:40:12,5,10
4QbY6pxpOdzq,kQBeX0jQAeyK,"I'm sorry to hear that you haven't received the email invitation. Please check your spam or junk folder to ensure that the email hasn't been filtered there. If you still cannot locate the email, don't worry. You should receive the email in due time. If you continue to encounter difficulties, please reach out to our support team by submitting a ticket [here](https://alxprograms.zendesk.com/hc/en-gb/requests/new) for further assistance.",1,0,0,2024-03-06 10:40:13,6,96
4zbqjVnJ0dpr,kQBeXBQG5byK,"Hello, what can I do for you?",1,0,0,2024-03-28 10:45:00,0,9
MYer0EoK4bOB,kQBeXBQG5byK,I find it hard doing my milestone,0,0,0,2024-03-28 10:45:03,1,7
l9avgYvO0bG1,kQBeXBQG5byK,"If you are finding it challenging to complete your milestone, we recommend reaching out to your peers for assistance or watching the tutorial videos provided in the weekly content. Remember, you can submit or resubmit any overdue milestone, but it will be labeled as ""Late"" and graded out of 90%. Missing milestones could put you at risk of being dropped from the program, so it's crucial to make every effort to meet the submission deadlines. If you need further guidance or support, please don't hesitate to contact ALX Africa's team at [ALX Africa Support](https://alxprograms.zendesk.com/hc/en-gb/requests/new).",1,0,0,2024-03-28 10:45:04,2,132
4QbY6QmkMdzq,kQBeXBQG5byK,Thanks LEA,0,0,0,2024-03-28 10:45:51,3,3
oQeZ4wnlwbpZ,kQBeXBQG5byK,"You're welcome! If you have any more questions or need further assistance, feel free to ask. We're here to help you with your learning journey.",1,0,0,2024-03-28 10:45:52,4,31
YQdJ64qD9dOG,kQBeXwXpvdyK,"Hello, what can I do for you?",1,0,0,2024-02-16 12:39:55,0,9
y1aKrgZXleQG,kQBeXwXpvdyK,can i retake my quiz?,0,0,0,2024-02-16 12:39:57,1,7
9wdL9j86pejP,kQBeXwXpvdyK,"I'm sorry, but once you have submitted your answers for the quiz, you won't be able to retake it. It is important to thoroughly review the course material before attempting the test. If you have any further questions or concerns, please feel free to reach out to ALX Africa's support team at https://alxprograms.zendesk.com/hc/en-gb/requests/new.",1,0,0,2024-02-16 12:39:58,2,80
lNbW6x7O4ayg,kQBeXwXpvdyK,can i retake the test ?,0,0,0,2024-02-16 12:40:12,3,7
QBeXDyox8eyK,kQBeXwXpvdyK,"Once you have submitted your answers for the weekly test, you won't be able to retake it. It is important to thoroughly review the course material before attempting the test. If you have any further questions or concerns, please feel free to reach out to ALX Africa's support team at https://alxprograms.zendesk.com/hc/en-gb/requests/new.",1,0,0,2024-02-16 12:40:13,4,76
y1aKO234JaQG,kzPdygkzEaQr,"Hello, what can I do for you?",1,0,0,2024-05-06 06:48:17,0,9
9wdLg234jbjP,kzPdygkzEaQr,Good morning,0,0,0,2024-05-06 06:48:19,1,2
N1aMj234RbWm,kzPdygkzEaQr,Good morning! How can we assist you today?,1,0,0,2024-05-06 06:48:20,2,10
Mvbmwnvv3eYA,kzPdygkzEaQr,Please i'm trying to follow the telegram link but it's saying error and i can't find alx on telegram,0,0,0,2024-05-06 06:49:12,3,23
openZowwpe7A,kzPdygkzEaQr,"We apologize for the inconvenience you are experiencing with the Telegram link. Unfortunately, we do not have control over external platforms like Telegram. We recommend reaching out to our support team using the contact form at [ALX Support Contact](https://alxprograms.zendesk.com/hc/en-gb/requests/new) for further assistance with accessing the ALX Telegram group. They will be able to provide you with the necessary guidance to join the group successfully.",1,0,0,2024-05-06 06:49:13,4,91
4oeElQ50Wd0B,O5xe7xgXya7r,"Hello, what can I do for you?",1,0,0,2024-04-17 15:13:52,0,9
YRdGZKjMKbDz,O5xe7xgXya7r,"Hi, can I get an email address of someone on the team lead",0,0,0,2024-04-17 15:13:54,1,14
YQdJZXmNKdOG,O5xe7xgXya7r,"We regret to inform you that we are unable to provide specific email addresses of team members. However, if you have any inquiries or need assistance, please feel free to reach out to us through our support channels at https://alxprograms.zendesk.com/hc/en-gb/requests/new. Our team will be more than happy to assist you further.",1,0,0,2024-04-17 15:13:55,2,72
oQeZ4ZW08bpZ,qM7e5o3GZb2v,how can i withdraw from the program,0,0,0,2024-03-30 20:04:51,1,7
KQe1jV94GaJY,qM7e5o3GZb2v,"If you wish to withdraw from the program, you can do so directly on the Portal. From your portal, you will find a Get Support button under your learning tab. Click on that, and you will have the option to withdraw. Keep in mind that this action cannot be reversed, and you will lose access to program platforms and any progress you have made. If you need further assistance with the withdrawal process, please don't hesitate to contact our team at [ALX Africa's team](https://alxprograms.zendesk.com/hc/en-gb/requests/new).",1,0,0,2024-03-30 20:04:52,2,116
BDbDkX7Pxal2,VWPe9BEg8aLy,"Hello, what can I do for you?",1,0,0,2024-02-17 22:10:05,0,9
4QbY6XGyAdzq,O5xe7xgXya7r,Thank you. I mean email address of someone on the alx team,0,0,0,2024-04-17 15:14:44,3,14
oQeZ4XJzQbpZ,O5xe7xgXya7r,"We regret to inform you that we are unable to provide specific email addresses of team members. However, if you have any inquiries or need assistance, please feel free to reach out to us through our support channels at https://alxprograms.zendesk.com/hc/en-gb/requests/new. Our team will be more than happy to assist you further.",1,0,0,2024-04-17 15:14:45,4,72
QBeX60gDkbyK,Opnel4k7leKB,"Hello, what can I do for you?",1,0,0,2024-05-06 08:00:00,0,9
KQe1jngw3aJY,Opnel4k7leKB,How can I get the program calendar,0,0,0,2024-05-06 08:00:01,1,7
Jrb2RojkJbWL,Opnel4k7leKB,"To access the program calendar, you can click [here](https://calendar.google.com/calendar/u/7?cid=Y19hNTcwOGE2ODVmNDMxZWM0ZDE0NDQxYmZkNGZiZmQ5ZDI5Yjk1OTFhM2NmZjM3MGZhZTNhNTdiMjU0YjdlNjAyQGdyb3VwLmNhbGVuZGFyLmdvb2dsZS5jb20) to stay informed about all events in your local time. Make sure to add the program calendar to your own calendar for easy access to program events and deadlines. If you encounter any challenges, there are step-by-step and video guides available to assist you in adding the calendar.",1,0,0,2024-05-06 08:00:02,2,170
LDdwpoE9Me1Y,OpnelLL91eKB,"Hello, what can I do for you?",1,0,0,2024-02-16 21:02:04,0,9
X7axkpVkqeyv,OpnelLL91eKB,How will I join the lesson for the week,0,0,0,2024-02-16 21:02:08,1,9
zPdyPq6PPbQr,OpnelLL91eKB,"To join the lesson for the week, you will receive an email with links to the AiCE portal and the Learning Management System (LMS). The AiCE portal is where you will interact with the team and other learners through discussion prompts. The LMS is where most of your learning materials will be available. Additionally, there will be live office hours sessions on YouTube every Tuesday and Thursday, where you can ask questions and gain insights into the week's content. If you have any difficulties or further questions, please feel free to reach out to us at https://alxprograms.zendesk.com/hc/en-gb/requests/new.",1,0,0,2024-02-16 21:02:09,2,128
olejR7BJvejN,Opnelm9r7aKB,"Hello, what can I do for you?",1,0,0,2024-03-04 06:24:55,0,9
pmbkR9gM6azJ,Opnelm9r7aKB,Hi,0,0,0,2024-03-04 06:24:56,1,1
pnelYj06MaKB,Opnelm9r7aKB,Hi! How can we assist you today?,1,0,0,2024-03-04 06:24:57,2,9
lNbW6k1KQayg,Opnelm9r7aKB,What time is the Aice starting,0,0,0,2024-03-04 06:25:38,3,7
QBeXDmPX5eyK,Opnelm9r7aKB,"The AiCE Program typically starts with a one-week onboarding process, followed by six weeks of learning and concludes with one week for wrapping up the program. If you have any further questions or need assistance, feel free to reach out to our team at the following link: [ALX Africa Support](https://alxprograms.zendesk.com/hc/en-gb/requests/new).",1,0,0,2024-03-04 06:25:39,4,78
ELe3ljPXna69,q9wdLmZ5gejP,"Hello, what can I do for you?",1,0,0,2024-03-28 08:42:05,0,9
GRb48kP30bBL,q9wdLmZ5gejP,How do I attend to my Milestone 2 Assignment,0,0,0,2024-03-28 08:42:07,1,11
M7e58lX4Zd2v,q9wdLmZ5gejP,"To attend to your Milestone 2 Assignment, you need to ensure that you complete and submit it in the required worksheet format. Milestones consist of activities in your simulation challenge that you work on throughout the week as you progress through the learning content on Savanna, our learning platform. Make sure to follow the instructions provided in the weekly content carefully. If you encounter any difficulties or have specific questions about Milestone 2, please feel free to reach out to our team at https://alxprograms.zendesk.com/hc/en-gb/requests/new for further assistance.",1,0,0,2024-03-28 08:42:08,2,116
5xe76wvOrd7r,QK9b6JxkNbEv,"Hello, what can I do for you?",1,0,0,2024-05-06 09:09:08,0,9
WPe98yxOZdLy,QK9b6JxkNbEv,Having difficulty joining the meeting,0,0,0,2024-05-06 09:09:09,1,5
nXe0gmlOKdxr,QK9b6JxkNbEv,"We understand that joining the meeting is crucial for your learning experience. To troubleshoot this issue, we recommend ensuring that you have a stable internet connection and that you are using the correct meeting link or platform provided for the session. If you continue to experience difficulties, please reach out to our team at [ALX Africa's support page](https://alxprograms.zendesk.com/hc/en-gb/requests/new) for further assistance.",1,0,0,2024-05-06 09:09:10,2,89
zPdy8PlknbQr,qM7e5g1G8b2v,"Hello, what can I do for you?",1,0,0,2024-03-07 20:01:52,0,9
xkazmpPlyeJ0,qM7e5g1G8b2v,I'm not able to access my active dashboard. What should I do?,0,0,0,2024-03-07 20:01:54,1,15
w9aAnDqOlbvM,qM7e5g1G8b2v,"If you are unable to access your active dashboard, please ensure you are logged in correctly. To access the dashboard, click on the ALX logo on the far left of your dashboard. If you continue to experience issues, please try refreshing your browser. If the problem persists, consider checking if your browser is updated to the latest version. If you need further assistance, please submit a ticket to our tech team at [this link](https://alxprograms.zendesk.com/hc/en-gb/requests/new).",1,0,0,2024-03-07 20:01:55,2,104
BDbDRorDkel2,QnXe0ZDm5bxr,"Hello, what can I do for you?",1,0,0,2024-05-12 18:08:27,0,9
YQdJZxAMydOG,QnXe0ZDm5bxr,how to get all points in legacy points as it is required ?,0,0,0,2024-05-12 18:08:32,1,13
y1aKOyBN8aQG,QnXe0ZDm5bxr,"To accumulate all points in the Legacy Points program, you need to actively participate and contribute to The ROOM Community by attending events, engaging in activities, and interacting with the ALX platform. Remember, Legacy Points do not reflect immediately after an event, but they will be added to your total as you continue to engage. The more you participate and contribute, the more points you can earn. Keep an eye out for new ways to earn points as the program evolves.",1,0,0,2024-05-12 18:08:33,2,92
l9avgv5ynbG1,QnXe0ZDm5bxr,does it mean to fullfill all points in legacy points is key of success in this ai?,0,0,0,2024-05-12 18:11:32,3,19
LDdwjw5zXb1Y,QnXe0ZDm5bxr,"Earning all points in the Legacy Points program is not the sole key to success in the AiCE program. While accumulating points is important and reflects your engagement and participation within the ALX community, success in the AiCE program is also influenced by various factors such as your dedication to learning, active participation in discussions, completing assignments, and networking with peers. Legacy Points serve as a way to recognize and reward your contributions, but they are just one aspect of your overall experience and growth within the program.",1,0,0,2024-05-12 18:11:34,4,100
46dBgmpJQe79,QnXe0ZDm5bxr,how to reach within the room of legacy points?,0,0,0,2024-05-12 18:12:53,5,10
BDbDRorL6el2,QnXe0ZDm5bxr,"To access the Legacy Points tab on your portal, you need to navigate to your account dashboard on The ROOM Fellowship platform. Once there, you should be able to locate the Legacy Points section where you can view your accumulated points, track your progress, and explore the rewards available for redemption. If you encounter any issues finding the Legacy Points tab, please reach out to our support team for further assistance. Remember, points may not reflect immediately after an event, so continue engaging with the community to earn and redeem your points effectively.",1,0,0,2024-05-12 18:12:54,6,104
APdRgJnGVeGy,QnXe0ZDm5bxr,"may be you can send me a link to reach out there, coze it is difficult for me to locate where it is?",0,0,0,2024-05-12 18:15:54,7,26
y5eVmjrMzdEP,QnXe0ZDm5bxr,"To connect with your peers and access important information, you can refer to the following resources:

- For guidance on accessing Savanna and the Community Portal, you can watch this video guide: [Video Guide](https://www.loom.com/share/692f1b6e30f64bca86ce68eafd8b65fb?sid=6e2815af-bf34-47c2-81b9-21e3ce9212e2).
- If you haven't signed up for the Community Portal yet, you can follow these instructions: [Community Portal Sign-Up Instructions](https://drive.google.com/file/d/1m42r7Ox0DC1biJop2SFJTazsn6HcaeJl/view?usp=sharing).

These resources should help you navigate and engage with the ALX community effectively. If you encounter any difficulties, please don't hesitate to reach out to our support team for further assistance.",1,0,0,2024-05-12 18:15:55,8,197
pnelOgLwMdKB,QnXe0ZDm5bxr,am i going to pass in this video guide within community portal in order to access legacy points?,0,0,0,2024-05-12 18:18:05,9,19
openZkXy7e7A,QnXe0ZDm5bxr,"Based on the information provided in the Knowledge Base, you will not necessarily pass by watching the video guide within the Community Portal to access Legacy Points. The video guide is primarily aimed at assisting users in navigating Savanna and the Community Portal effectively. If you are facing challenges locating the Legacy Points tab, we recommend reaching out to our support team for further assistance. Remember, your Legacy Points will reflect once any existing issues are resolved, and your active participation in the program is crucial for earning and tracking your points effectively.",1,0,0,2024-05-12 18:18:06,10,102
APdRgJnxOeGy,QnXe0ZDm5bxr,fellowship sandtech means what?,0,0,0,2024-05-12 18:26:39,11,8
y5eVmjrBvdEP,QnXe0ZDm5bxr,"Based on the information provided in the Knowledge Base, ""Fellowship Sand Technologies"" refers to the coding environments known as sandboxes that are assigned to learners. These sandboxes are provided based on the curriculums you have access to within the program. Sandboxes serve as coding environments where learners can practice and apply their skills in a controlled setting. If your curriculum requires the use of sandboxes, they will be made available to you to enhance your learning experience.",1,0,0,2024-05-12 18:26:40,12,94
MYer0o5w4bOB,QnXe0ZDm5bxr,how and which ways i will know is my curriculum requires the use of sandboxes? which link to reach out there?,0,0,0,2024-05-12 18:28:19,13,24
l9avgv5A0bG1,QnXe0ZDm5bxr,"To determine if your curriculum requires the use of sandboxes, you can access the Community Portal. Within the portal, you will find detailed information regarding your curriculum, including whether sandboxes are necessary for your learning activities. If you encounter any difficulties locating this information, you can reach out to our support team via the Community Portal for further guidance and clarification. Remember, our team is here to assist you every step of the way in your learning journey.",1,0,0,2024-05-12 18:28:20,14,89
4QbY6mxgMdzq,QnXe0ZDm5bxr,"lets back on legacy points, till now am unable to fullfill all requirements?",0,0,0,2024-05-12 18:31:27,15,16
oQeZ4nyjwbpZ,QnXe0ZDm5bxr,"We understand that you may be experiencing challenges in fulfilling all the requirements to earn Legacy Points. Rest assured that we are actively investigating any issues that may be affecting the reflection of your points. We recommend that you continue engaging with the program and participating in the designated activities. Once the underlying issues are resolved, you will have access to all your spaces and Legacy Points. Your dedication and participation are valued, and we are committed to ensuring that you receive the rewards you deserve for your contributions to The ROOM Community. Thank you for your patience and continued engagement.",1,0,0,2024-05-12 18:31:28,16,109
zPdy8y5LPbQr,QnXe0ZDm5bxr,means now can i quit untill you show me again way to fill it?,0,0,0,2024-05-12 18:33:42,17,16
xkazmz5MmeJ0,QnXe0ZDm5bxr,"If you wish to withdraw from the program, you can follow these steps: 
1. Log into the portal using the link provided: [ALX Portal](https://member.theroom.com/community#u/93ed5ad0).
2. Once logged in, navigate to the Legacy Points tab.
3. Fill out the Employment Status form by clicking on the following link: [Employment Status Form](https://member.theroom.com/self-reporting).
4. After submitting the form, you will receive 250 points within 72 hours. Please note that this process can only be done once every 90 days for legacy points.
5. If you still wish to withdraw from the program, you can do so directly on the portal by following these steps:
   - Go to your portal and find the Get Support button under your learning tab.
   - Click on the Get Support button, and you will see the option to withdraw from the program.
Remember, our support team is available to assist you further if you have any questions or need additional guidance.",1,0,0,2024-05-12 18:33:43,18,214
APdRgJnEKeGy,QnXe0ZDm5bxr,"but i dont want to withdraw at all no, i was asking whether i can let you remind me when this legacy points will be active?",0,0,0,2024-05-12 18:39:24,19,28
